latitude,longitude,elevation,value_count,cdi_index,interpolation_flag,elevation_max,elevation_min,stdev
degrees_north,degrees_east,m,,,,m,m,m
41.369270833311056,9.239062499988414,-15.75,1,19296,1,NaN,NaN,NaN
41.369270833311056,9.240104166655081,-10.0,1,19296,0,-10.0,-10.0,0.0
41.369270833311056,9.241145833321749,-7.875,4,19296,0,-3.5,-10.0,2.655
41.369270833311056,9.242187499988416,-4.5,1,19296,0,-4.5,-4.5,0.0
41.369270833311056,9.243229166655084,-10.0,1,19296,0,-10.0,-10.0,0.0
41.369270833311056,9.244270833321751,-11.0,1,19296,0,-11.0,-11.0,0.0
41.369270833311056,9.245312499988419,-11.5,2,19296,0,-11.0,-12.0,0.5
41.369270833311056,9.246354166655086,-13.5,2,19296,0,-13.0,-14.0,0.5
41.369270833311056,9.247395833321754,-11.354167,1,19296,1,NaN,NaN,NaN
41.369270833311056,9.248437499988421,-10.59375,1,19296,1,NaN,NaN,NaN
41.369270833311056,9.249479166655089,-8.75,2,19296,0,-7.5,-10.0,1.25
41.37031249997772,9.239062499988414,-16.0,1,19296,0,-16.0,-16.0,0.0
41.37031249997772,9.240104166655081,-10.0,2,19296,0,-10.0,-10.0,0.0
41.37031249997772,9.241145833321749,-3.0,1,19296,0,-3.0,-3.0,0.0
41.37031249997772,9.242187499988416,-6.6,3,19296,0,-5.4,-9.0,1.697
41.37031249997772,9.243229166655084,-4.475,1,19296,1,NaN,NaN,NaN
41.37031249997772,9.244270833321751,-0.3,1,19296,0,-0.3,-0.3,0.0
41.37031249997772,9.245312499988419,-7.075,1,19296,1,NaN,NaN,NaN
41.37031249997772,9.246354166655086,-10.0,1,19296,0,-10.0,-10.0,0.0
41.37031249997772,9.247395833321754,-11.0,1,19296,0,-11.0,-11.0,0.0
41.37031249997772,9.248437499988421,-11.5,2,19296,0,-10.0,-13.0,1.5
41.37031249997772,9.249479166655089,-10.3125,1,19296,1,NaN,NaN,NaN
41.37135416664439,9.239062499988414,-13.665,3,19296,0,-13.0,-15.0,0.943
41.37135416664439,9.240104166655081,-8.65,2,19296,0,-8.4,-8.9,0.25
41.37135416664439,9.241145833321749,-5.77875,1,19296,1,NaN,NaN,NaN
41.37135416664439,9.242187499988416,-5.065,3,19296,0,-4.4,-5.4,0.471
41.37135416664439,9.243229166655084,-1.0,1,19296,0,-1.0,-1.0,0.0
41.37135416664439,9.244270833321751,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.37135416664439,9.245312499988419,-6.5,1,19296,0,-6.5,-6.5,0.0
41.37135416664439,9.246354166655086,-18.0,1,19296,0,-18.0,-18.0,0.0
41.37135416664439,9.247395833321754,-8.5,1,19296,0,-8.5,-8.5,0.0
41.37135416664439,9.248437499988421,-10.75,2,19296,0,-9.5,-12.0,1.25
41.37135416664439,9.249479166655089,-11.0,2,19296,0,-11.0,-11.0,0.0
41.37239583331105,9.239062499988414,-10.62,5,19296,0,-8.5,-13.0,1.516
41.37239583331105,9.240104166655081,-7.9,1,19296,0,-7.9,-7.9,0.0
41.37239583331105,9.241145833321749,-6.4,1,19296,0,-6.4,-6.4,0.0
41.37239583331105,9.242187499988416,-4.4,3,19296,0,-3.9,-5.4,0.707
41.37239583331105,9.243229166655084,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.37239583331105,9.244270833321751,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41.37239583331105,9.245312499988419,-4.35,4,19296,0,-2.0,-6.4,1.563
41.37239583331105,9.246354166655086,-2.3,2,19296,0,-0.6,-4.0,1.7
41.37239583331105,9.247395833321754,-2.8,2,19296,0,-0.1,-5.5,2.7
